id,name,repeat+AF8-id,batch+AF8-size,learning+AF8-rate,env+AF8-name,epsilon+AF8-decay,debug,is+AF8-curiosity,episode,e+AF8-score,e+AF8-score+AF8-min,e+AF8-score+AF8-max,score+AF8-avg,score+AF8-best,loss,,,,,,,,,,,,,,,,,,
520,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-52+AF8-520,52,124,0.001,CartPole+AC0-v0,0.01,False,False,50,10,1,1,11.04,22,1.99101370573044,,,,,,,,,,,,,,,,,,
512,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-52+AF8-512,52,124,0.001,CartPole+AC0-v0,0.01,False,False,50,10,1,1,11.42,33,2.32093333005905,,,,,,,,,,,,,,,,,,
317,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-32+AF8-317,32,32,0.01,CartPole+AC0-v0,0.0001,False,False,50,26,1,1,28.7,89,2.94719367990127,,,,,,,,,,,,,,,,,,
392,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-40+AF8-392,40,64,0.001,CartPole+AC0-v0,0.0001,False,False,50,10,1,1,22.7,73,3.74986615180969,,,,,,,,,,,,,,,,,,
434,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-44+AF8-434,44,64,0.01,CartPole+AC0-v0,0.01,False,False,50,21,1,1,19.54,35,2.02610617592221,,,,,,,,,,,,,,,,,,
417,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-42+AF8-417,42,64,0.1,CartPole+AC0-v0,0.0001,False,False,50,12,1,1,20.36,54,4.67027207215627,,,,,,,,,,,,,,,,,,
515,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-52+AF8-515,52,124,0.001,CartPole+AC0-v0,0.01,False,False,50,10,1,1,11.64,30,2.08058825731277,,,,,,,,,,,,,,,,,,
436,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-44+AF8-436,44,64,0.01,CartPole+AC0-v0,0.01,False,False,50,37,1,1,19.78,68,2.00981056045841,,,,,,,,,,,,,,,,,,
388,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-39+AF8-388,39,64,0.1,CartPole+AC0-v0,0.001,False,False,50,19,1,1,25.82,76,4.04940004097788,,,,,,,,,,,,,,,,,,
450,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-45+AF8-450,45,64,0.1,CartPole+AC0-v0,0.01,False,False,50,20,1,1,20.82,89,6.11167795658112,,,,,,,,,,,,,,,,,,
516,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-52+AF8-516,52,124,0.001,CartPole+AC0-v0,0.01,False,False,50,9,1,1,11.7,35,1.79066424899631,,,,,,,,,,,,,,,,,,
513,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-52+AF8-513,52,124,0.001,CartPole+AC0-v0,0.01,False,False,50,10,1,1,13.38,48,1.77109351158142,,,,,,,,,,,,,,,,,,
518,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-52+AF8-518,52,124,0.001,CartPole+AC0-v0,0.01,False,False,50,9,1,1,11.58,41,1.81175736586253,,,,,,,,,,,,,,,,,,
420,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-42+AF8-420,42,64,0.1,CartPole+AC0-v0,0.0001,False,False,50,24,1,1,20.28,75,3.26658005019029,,,,,,,,,,,,,,,,,,
379,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-38+AF8-379,38,64,0.01,CartPole+AC0-v0,0.001,False,False,50,28,1,1,21.1,42,1.96487147893224,,,,,,,,,,,,,,,,,,
441,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-45+AF8-441,45,64,0.1,CartPole+AC0-v0,0.01,False,False,50,12,1,1,24.54,108,3.50821329156558,,,,,,,,,,,,,,,,,,
511,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-52+AF8-511,52,124,0.001,CartPole+AC0-v0,0.01,False,False,50,11,1,1,13.78,69,2.06622812964699,,,,,,,,,,,,,,,,,,
522,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-53+AF8-522,53,124,0.01,CartPole+AC0-v0,0.01,False,False,50,14,1,1,12.94,34,2.0414479630334,,,,,,,,,,,,,,,,,,
